province_code,caf_region,da_region,province_status,region_status,_merge
1,14,14,PROVINCE_MATCHED,REGION_MATCHED,both
10,4,4,PROVINCE_MATCHED,REGION_MATCHED,both
11,14,14,PROVINCE_MATCHED,REGION_MATCHED,both
12,7,7,PROVINCE_MATCHED,REGION_MATCHED,both
13,10,10,PROVINCE_MATCHED,REGION_MATCHED,both
14,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
15,2,2,PROVINCE_MATCHED,REGION_MATCHED,both
16,5,5,PROVINCE_MATCHED,REGION_MATCHED,both
17,5,5,PROVINCE_MATCHED,REGION_MATCHED,both
18,10,10,PROVINCE_MATCHED,REGION_MATCHED,both
19,6,6,PROVINCE_MATCHED,REGION_MATCHED,both
2,16,16,PROVINCE_MATCHED,REGION_MATCHED,both
20,5,5,PROVINCE_MATCHED,REGION_MATCHED,both
21,4,4,PROVINCE_MATCHED,REGION_MATCHED,both
2147483647,2147483647,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
22,7,7,PROVINCE_MATCHED,REGION_MATCHED,both
23,11,11,PROVINCE_MATCHED,REGION_MATCHED,both
24,11,11,PROVINCE_MATCHED,REGION_MATCHED,both
25,11,11,PROVINCE_MATCHED,REGION_MATCHED,both
26,8,8,PROVINCE_MATCHED,REGION_MATCHED,both
27,14,14,PROVINCE_MATCHED,REGION_MATCHED,both
28,1,1,PROVINCE_MATCHED,REGION_MATCHED,both
29,1,1,PROVINCE_MATCHED,REGION_MATCHED,both
3,16,16,PROVINCE_MATCHED,REGION_MATCHED,both
30,6,6,PROVINCE_MATCHED,REGION_MATCHED,both
301,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
302,6,18,PROVINCE_MATCHED,REGION_MISMATCH,both
303,14,14,PROVINCE_MATCHED,REGION_MATCHED,both
304,16,16,PROVINCE_MATCHED,REGION_MATCHED,both
305,10,10,PROVINCE_MATCHED,REGION_MATCHED,both
306,7,7,PROVINCE_MATCHED,REGION_MATCHED,both
307,11,11,PROVINCE_MATCHED,REGION_MATCHED,both
308,12,12,PROVINCE_MATCHED,REGION_MATCHED,both
309,10,10,PROVINCE_MATCHED,REGION_MATCHED,both
31,2,2,PROVINCE_MATCHED,REGION_MATCHED,both
310,6,6,PROVINCE_MATCHED,REGION_MATCHED,both
311,7,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
312,4,4,PROVINCE_MATCHED,REGION_MATCHED,both
313,7,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
314,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
315,17,17,PROVINCE_MATCHED,REGION_MATCHED,both
316,8,8,PROVINCE_MATCHED,REGION_MATCHED,both
317,9,9,PROVINCE_MATCHED,REGION_MATCHED,both
32,14,14,PROVINCE_MATCHED,REGION_MATCHED,both
33,1,1,PROVINCE_MATCHED,REGION_MATCHED,both
34,4,4,PROVINCE_MATCHED,REGION_MATCHED,both
35,10,10,PROVINCE_MATCHED,REGION_MATCHED,both
36,19,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
37,8,8,PROVINCE_MATCHED,REGION_MATCHED,both
4,6,6,PROVINCE_MATCHED,REGION_MATCHED,both
40,17,17,PROVINCE_MATCHED,REGION_MATCHED,both
405,90,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
41,5,5,PROVINCE_MATCHED,REGION_MATCHED,both
42,10,10,PROVINCE_MATCHED,REGION_MATCHED,both
43,10,10,PROVINCE_MATCHED,REGION_MATCHED,both
44,14,14,PROVINCE_MATCHED,REGION_MATCHED,both
45,6,18,PROVINCE_MATCHED,REGION_MISMATCH,both
46,7,18,PROVINCE_MATCHED,REGION_MISMATCH,both
47,12,12,PROVINCE_MATCHED,REGION_MATCHED,both
48,8,8,PROVINCE_MATCHED,REGION_MATCHED,both
49,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
5,5,5,PROVINCE_MATCHED,REGION_MATCHED,both
50,2,2,PROVINCE_MATCHED,REGION_MATCHED,both
51,17,17,PROVINCE_MATCHED,REGION_MATCHED,both
52,17,17,PROVINCE_MATCHED,REGION_MATCHED,both
53,17,17,PROVINCE_MATCHED,REGION_MATCHED,both
54,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
55,1,1,PROVINCE_MATCHED,REGION_MATCHED,both
56,4,4,PROVINCE_MATCHED,REGION_MATCHED,both
563,40,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
57,2,2,PROVINCE_MATCHED,REGION_MATCHED,both
58,4,4,PROVINCE_MATCHED,REGION_MATCHED,both
59,17,17,PROVINCE_MATCHED,REGION_MATCHED,both
6,6,6,PROVINCE_MATCHED,REGION_MATCHED,both
60,8,8,PROVINCE_MATCHED,REGION_MATCHED,both
61,7,18,PROVINCE_MATCHED,REGION_MISMATCH,both
62,5,5,PROVINCE_MATCHED,REGION_MATCHED,both
63,12,12,PROVINCE_MATCHED,REGION_MATCHED,both
64,8,8,PROVINCE_MATCHED,REGION_MATCHED,both
65,12,12,PROVINCE_MATCHED,REGION_MATCHED,both
66,19,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
67,16,16,PROVINCE_MATCHED,REGION_MATCHED,both
68,16,16,PROVINCE_MATCHED,REGION_MATCHED,both
69,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
7,19,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
70,19,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
71,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
72,9,9,PROVINCE_MATCHED,REGION_MATCHED,both
73,9,9,PROVINCE_MATCHED,REGION_MATCHED,both
77,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
78,8,8,PROVINCE_MATCHED,REGION_MATCHED,both
79,6,6,PROVINCE_MATCHED,REGION_MATCHED,both
8,3,3,PROVINCE_MATCHED,REGION_MATCHED,both
80,12,12,PROVINCE_MATCHED,REGION_MATCHED,both
801,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
802,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
803,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
804,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
805,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
806,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
807,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
808,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
809,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
81,14,14,PROVINCE_MATCHED,REGION_MATCHED,both
810,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
811,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
812,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
813,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
814,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
815,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
816,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
817,13,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
82,11,11,PROVINCE_MATCHED,REGION_MATCHED,both
83,9,9,PROVINCE_MATCHED,REGION_MATCHED,both
85,16,16,PROVINCE_MATCHED,REGION_MATCHED,both
86,11,11,PROVINCE_MATCHED,REGION_MATCHED,both
87,19,19,PROVINCE_MATCHED,REGION_MATCHED,both
88,19,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
9,2,2,PROVINCE_MATCHED,REGION_MATCHED,both
901,9,,CAF_ONLY_PROVINCE,NOT_APPLICABLE,left_only
999,19,19,PROVINCE_MATCHED,REGION_MATCHED,both
